iu_ac;date_debut;date_fin;libelle;iu_nd_aval;libelle_nd_aval;iu_nd_amont;libelle_nd_amont;geo_point_2d;geo_shape
5208;1996-10-25T02:00:00+00:00;2023-01-01T01:00:00+00:00;PI_Parc_Expo_Ouest;609;SI_Sevres;2747;PI_Versailles;48.83183803711651, 2.282197585681839;"{""coordinates"": [[2.284812458788032, 48.83080728178536], [2.281909073188575, 48.83193363324247], [2.279596870509634, 48.832903863614455]], ""type"": ""LineString""}"
4299;1996-10-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Pereire;2310;Bd_Pereire-Av_Ternes;2770;Pereire-Debarcadere;48.87901012219579, 2.286567035293487;"{""coordinates"": [[2.284898648153917, 48.878000465584115], [2.285706098444798, 48.878562274433285], [2.288279225029118, 48.87994849818324]], ""type"": ""LineString""}"
4008;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Guy_Moquet;2049;Moquet-Lacaille;2035;Moquet-Sauffroy;48.89202589213231, 2.3229878572411042;"{""coordinates"": [[2.3211564767237247, 48.89164298815021], [2.3248192377584838, 48.89240879611442]], ""type"": ""LineString""}"
7171;2019-03-26T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_Wagram;3527;Place_du_Bresil;3716;Wagram-Prony;48.883705467885655, 2.3023582843179247;"{""coordinates"": [[2.301998483043484, 48.883221110705804], [2.302718085592365, 48.884189825065505]], ""type"": ""LineString""}"
7170;2019-03-26T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_Wagram;3715;Wagram-Courcelles;3716;Wagram-Prony;48.88241711608727, 2.301235028415373;"{""coordinates"": [[2.3018620601293684, 48.8832651075278], [2.3006079967013773, 48.881569124646745]], ""type"": ""LineString""}"
7189;2019-03-28T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Emile_Zola;3725;Av_Emile_Zola-Lourmel;3724;Av_Emile_Zola-St_Charles-Linois;48.84651619099132, 2.286060538396718;"{""coordinates"": [[2.2859436726775346, 48.84651045579203], [2.286177404115901, 48.846521926190626]], ""type"": ""LineString""}"
4868;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Reuilly;2585;Bd_Reuilly-Charenton;2592;Bd_de_Reuilly-Durance;48.83919208602649, 2.3906680496831814;"{""coordinates"": [[2.3921593881509695, 48.83930585238509], [2.389176711215393, 48.83907831966791]], ""type"": ""LineString""}"
895;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Davout;515;Bd_Davout-Lagny;516;Bd_Davout-Paganini;48.85020610676871, 2.4110710617313806;"{""coordinates"": [[2.4108870597243297, 48.851344629435346], [2.411255063738431, 48.849067584102066]], ""type"": ""LineString""}"
1033;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Gal_Martial_Valin;577;Bd_Victor-Balard;576;Bd_Gal_Valin-Bossoutrot;48.83647189517043, 2.276213804657303;"{""coordinates"": [[2.274326369885439, 48.8369034387942], [2.278101239429166, 48.83604035154667]], ""type"": ""LineString""}"
1222;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_Sevres;619;Av_Pte_de_Sevres_PI;618;Pte_Sevres-Armee_Air;48.83473179550846, 2.2774264680508503;"{""coordinates"": [[2.277603258039108, 48.83507465346109], [2.2772496780625926, 48.834388937555836]], ""type"": ""LineString""}"
7186;2019-03-28T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Emile_Zola;2388;Javel-Av_Emile_Zola;3723;Av_Emile_Zola-Peignot;48.846414205950836, 2.2819313790952496;"{""coordinates"": [[2.2830903727061207, 48.846466516012406], [2.280772385484378, 48.84636189588926]], ""type"": ""LineString""}"
6187;1998-12-04T01:00:00+00:00;2023-01-01T01:00:00+00:00;Linois;2385;Pl_Fernand_Forest;2389;Linois-Robert_de_Flers;48.84897746830272, 2.282299067131106;"{""coordinates"": [[2.282873677758577, 48.84858899567303], [2.281724456503635, 48.8493659409324]], ""type"": ""LineString""}"
