iu_ac;date_debut;date_fin;libelle;iu_nd_aval;libelle_nd_aval;iu_nd_amont;libelle_nd_amont;geo_point_2d;geo_shape
1223;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_de_Sevres;618;Pte_Sevres-Armee_Air;619;Av_Pte_de_Sevres_PI;48.83458548908511, 2.2775887111084794;"{""coordinates"": [[2.2773736802582274, 48.834153078805876], [2.277803741958732, 48.83501789936434]], ""type"": ""LineString""}"
1139;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rond_Pt_Pte_Plaine;627;Pte_Plaine-Av_Pte_Plaine;628;Pte_Plaine-Gal_Guillaumat;48.8278127813947, 2.292632476946377;"{""coordinates"": [[2.2928564154951085, 48.82776295820248], [2.292408538397645, 48.82786260458692]], ""type"": ""LineString""}"
5266;1996-10-28T01:00:00+00:00;2023-01-01T01:00:00+00:00;PE_Poterne;478;SE_Italie;457;AE_Gentilly;48.817370106973385, 2.350550919738548;"{""coordinates"": [[2.3464715081625283, 48.81630312661665], [2.3470157322432095, 48.81640832403151], [2.347492772835493, 48.81653668919965], [2.348324682658665, 48.81689283132845], [2.3494224511469985, 48.81736327793048], [2.350383185128817, 48.817695238271725], [2.3511710929586354, 48.817838668851394], [2.3520528344688416, 48.81792457457675], [2.3528597763246357, 48.81788035107052], [2.3534902413628815, 48.817775556986064], [2.354140985780582, 48.8175605598793], [2.354643446657688, 48.817276846586324]], ""type"": ""LineString""}"
5450;1996-11-06T01:00:00+00:00;2023-01-01T01:00:00+00:00;PI_St_Cloud;2488;AI_St_Cloud;2723;AI_Georges_Lafont;48.839259648175734, 2.254289772364343;"{""coordinates"": [[2.2546614296019127, 48.838184061914816], [2.2543110919911364, 48.8389121444183], [2.2540552440494857, 48.84037924612834]], ""type"": ""LineString""}"
5417;1996-11-05T01:00:00+00:00;2023-01-01T01:00:00+00:00;PI_Courcelles;2270;SI_Asnieres;2736;AI_Champerret;48.88926481478913, 2.295812006937022;"{""coordinates"": [[2.292386753449537, 48.888225177555626], [2.29409931665143, 48.88875746453511], [2.297415527341471, 48.88964998434791], [2.299148328061188, 48.890524987852054]], ""type"": ""LineString""}"
4429;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_Branly;2369;Quai_Branly-Av_Bourdonnais;2368;Quai_Branly-Passerelle_Debilly;48.86124685397266, 2.2964701722035823;"{""coordinates"": [[2.2977266142555663, 48.86180091175777], [2.2968371216213694, 48.86147400831168], [2.296022803256875, 48.86107013302008], [2.295288857235746, 48.8605497643655]], ""type"": ""LineString""}"
6124;1998-04-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;A6A_Y_Orleans_bretelle_4;3153;A6A_Y;3175;SE_A6A-Orleans_bretelle_4;48.81652476360583, 2.3345868832213577;"{""coordinates"": [[2.3304532247770173, 48.81884772679937], [2.3316674305495932, 48.81858933642017], [2.332491498664643, 48.81840219106518], [2.3330818652274505, 48.81813213565216], [2.3338854250786096, 48.81761440558155], [2.3350508115237667, 48.816926936253104], [2.3358735972736913, 48.81670163547406], [2.3364093884501678, 48.81659492134673], [2.336696421521, 48.81623184941678], [2.3360197650504344, 48.81413502455947], [2.3360522881802113, 48.813378595747174], [2.3363414944956586, 48.8125749706367]], ""type"": ""LineString""}"
5931;1997-08-29T02:00:00+00:00;2023-01-01T01:00:00+00:00;SI_A6B_bretelle_1;3080;A6B_Y;2801;SI_A6B;48.816343597926696, 2.3596847706524513;"{""coordinates"": [[2.3635469345598157, 48.81628074810492], [2.3625799118300677, 48.816235816971485], [2.360684816023879, 48.81636849389604], [2.3579795384894444, 48.81657430201901], [2.3572564938439675, 48.81649307943306], [2.3566528875096595, 48.816241927167475], [2.3563960197315916, 48.81601166968582], [2.3561868580948886, 48.815577526372564]], ""type"": ""LineString""}"
978;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;SE_Quai_d'Ivry_bretelle_3;553;Quai_Ivry-AccesSortie BP-Berlier;550;SE_Quai_d'Ivry;48.82576895662718, 2.387665266439282;"{""coordinates"": [[2.3876478986277982, 48.8256223149031], [2.3876826342507655, 48.82591559835126]], ""type"": ""LineString""}"
936;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Vincennes;3597;AE_Vincennes-1;536;Pte_Vincennes-Acces_PE;48.84737219472274, 2.414990311563609;"{""coordinates"": [[2.414981012378898, 48.847023708404556], [2.41499961074832, 48.84772068104092]], ""type"": ""LineString""}"
1757;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Villette;3600;AE_Villette-1;935;Villette-Bretelles_BP_CIte_ouest;48.90012323116206, 2.3854219504250924;"{""coordinates"": [[2.386904309330523, 48.900319840971875], [2.385857378081378, 48.89989837415072], [2.3855171892316513, 48.89988847246619], [2.3849952908447265, 48.900069361358696], [2.3844914702961346, 48.90029114268476], [2.3839281193865003, 48.900443575448186]], ""type"": ""LineString""}"
1729;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Aubervilliers;3601;AE_Aubervilliers-1;916;Pte_Auberviliers-Acces_PE;48.900938062073564, 2.3693975403966006;"{""coordinates"": [[2.370307718867023, 48.90093947739551], [2.3684873619261784, 48.90093664675161]], ""type"": ""LineString""}"
1730;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;SE_Aubervilliers;917;Pte_Auberviliers-Sortie_PE;918;SE_Auberviliers;48.90073945629427, 2.3737893519351134;"{""coordinates"": [[2.376040599600244, 48.9004595437575], [2.3715381042699835, 48.90101936883104]], ""type"": ""LineString""}"
1466;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;RN14;779;RN14;893;Pte_Clignancourt-PE;48.90096651309153, 2.3442415023757115;"{""coordinates"": [[2.3442480906374543, 48.90065250362424], [2.3442349141139687, 48.90128052255882]], ""type"": ""LineString""}"
4022;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;SI_St_Ouen;2010;Pte_St_Ouen-PI;2081;SI_St_Ouen;48.90043093294111, 2.3267303093832394;"{""coordinates"": [[2.3237655810168913, 48.90044912411162], [2.3263258640693145, 48.900409494727874], [2.3296950802629954, 48.90045483866935]], ""type"": ""LineString""}"
5189;1996-10-25T02:00:00+00:00;2023-01-01T01:00:00+00:00;SE_Champerret;2734;Caporal_Peugeot-Oestreicher;2733;SE_Champerret;48.88784246612241, 2.290876792043957;"{""coordinates"": [[2.2922647530132485, 48.88838254094577], [2.2914418120062674, 48.88819613493528], [2.2895508402356977, 48.88714057168996]], ""type"": ""LineString""}"
5234;1996-10-25T02:00:00+00:00;2023-01-01T01:00:00+00:00;SE_Ternes;2760;Bd_Paladines-Charpentier;2762;SE_Ternes;48.88311116335558, 2.283415310683365;"{""coordinates"": [[2.284079205267481, 48.88351187467395], [2.2827514160992486, 48.8827104520372]], ""type"": ""LineString""}"
5460;1996-11-06T01:00:00+00:00;2023-01-01T01:00:00+00:00;SI_Passy;2864;Lacs_a_Passy-Fortifications-BP;2856;SI_Passy;48.857918522827966, 2.2612122074830405;"{""coordinates"": [[2.259519517716271, 48.85777671638221], [2.260282557393531, 48.857973179052564], [2.260725672171711, 48.85802245023666], [2.2612120102587325, 48.858005236201045], [2.2618040027729274, 48.85789399647332], [2.262251801118832, 48.85788592078108], [2.2629181869112713, 48.85779258174284]], ""type"": ""LineString""}"
6086;1997-12-19T01:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Pte_d'Auteuil;3152;Av_Pte_Auteuil-Gordon_Bennet;2460;Av_Pte_d'Auteuil-BP;48.84801186790491, 2.2525510992482998;"{""coordinates"": [[2.252951090825934, 48.848089041089146], [2.2525845220666034, 48.84798995263971], [2.2521440497623475, 48.847986147853085]], ""type"": ""LineString""}"
6185;1998-12-04T01:00:00+00:00;2023-01-01T01:00:00+00:00;Rue_Balard;2387;Rond_Point_Mirabeau;3211;Balard_Sortie_Citroen-S.Mercier;48.84558188262059, 2.2770773407413856;"{""coordinates"": [[2.277060476118625, 48.845169521760006], [2.277031321687283, 48.84545295219602], [2.277003187599694, 48.845657900926696], [2.277051926217962, 48.84574263706788], [2.277165886775993, 48.84580049845261], [2.277260151462592, 48.84593442613726]], ""type"": ""LineString""}"
1920;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_Clichy;2039;Av_de_Clichy-Legendre;2040;Av_de_Clichy-Jacquemont;48.88888977426264, 2.323188248561501;"{""coordinates"": [[2.3236196733783707, 48.88864481230254], [2.3227568237446317, 48.88913473622273]], ""type"": ""LineString""}"
710;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Jean_Moulin;411;Pl_Pte_Chatillon;410;Av_Jean_Moulin-Coulmiers;48.8251074070242, 2.3203753925801927;"{""coordinates"": [[2.3213208180693847, 48.82551308487651], [2.3194299670910006, 48.824701729171885]], ""type"": ""LineString""}"
5476;1996-11-08T01:00:00+00:00;2023-01-01T01:00:00+00:00;Chapelle_bretelle_1;2894;Chapelle_bretelle_3b-Bretelle_1;2893;Chapelle_bretelle_1-Bretelle_7;48.90022947101266, 2.360420350411929;"{""coordinates"": [[2.3588400995363927, 48.900624814001475], [2.3589918120470506, 48.90036454602306], [2.3592473941863767, 48.90021088976089], [2.359700217215566, 48.900119485982614], [2.3602572260534447, 48.90011022290758], [2.361270530178673, 48.90022985323172], [2.3621662019577667, 48.90035497287037]], ""type"": ""LineString""}"
4818;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Monge;2570;Monge-Dolomieu;2568;Monge-Epee_de_Bois;48.84216167015068, 2.352129756602518;"{""coordinates"": [[2.352056605176539, 48.84163904096162], [2.352202908028498, 48.842684299339744]], ""type"": ""LineString""}"
1639;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Chapelle;855;Marx_Dormoy-Ordener-Chapelle;868;Imp_Cure-Chapelle;48.89065025010472, 2.3598108616372295;"{""coordinates"": [[2.35977862427339, 48.89100215360378], [2.359843099001069, 48.89029834660564]], ""type"": ""LineString""}"
6624;2007-07-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Simon_Bolivar;3433;Lauzin-Simon_Bolivar;3432;Atlas-Simon_Bolivar;48.8763992558006, 2.377496839599553;"{""coordinates"": [[2.376803733648562, 48.876384701707], [2.3770879703938004, 48.87639616367163], [2.377548538274189, 48.87641019672739], [2.378159489786272, 48.87639150913972], [2.3781899379344744, 48.876389023262846]], ""type"": ""LineString""}"
1329;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Pyrenees;718;Pyrenees-Landrin-Cour_des_Noues;725;Pyrenees-face_195;48.86295206471681, 2.3998268519190935;"{""coordinates"": [[2.4001991662929303, 48.86169897814037], [2.4001778379330068, 48.8617483980444], [2.4000659949956944, 48.862445924983646], [2.399850737415806, 48.863245835503335], [2.399173532505603, 48.86407469696509]], ""type"": ""LineString""}"
330;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_St_Germain;191;Bd_St_Germain-Lille;190;Bd_St_Germain-A.Briand;48.861615397500124, 2.320127765441593;"{""coordinates"": [[2.319657644395346, 48.862097899154804], [2.32059788648784, 48.86113289584542]], ""type"": ""LineString""}"
601;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Montparnasse;360;Montparnasse-Campagne_Premiere;361;Bd_Montparnasse-Paul_Sejourne;48.8409234824774, 2.3326131918560327;"{""coordinates"": [[2.331466182506831, 48.841298760575235], [2.3337602012052345, 48.840548204379566]], ""type"": ""LineString""}"
4781;1996-10-17T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_St_Marcel;2549;St_Marcel-Jura;2548;St_Marcel-Scipion;48.83775245279922, 2.355207432632376;"{""coordinates"": [[2.354513595511998, 48.83752848489555], [2.3559012697527546, 48.8379764207029]], ""type"": ""LineString""}"
5026;1996-10-21T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_d'Italie;2642;Tolbiac-Av_d'Italie;3171;Av_d'Italie-Moulinet;48.82679900778284, 2.356890221466957;"{""coordinates"": [[2.356730201429897, 48.827376634084864], [2.3570502415040173, 48.82622138148081]], ""type"": ""LineString""}"
797;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Kellermann;461;Bd_Kellermann-Face_N?_12;460;Bd_Kellermann-Moulin_Pointe;48.82024334694805, 2.35612826132423;"{""coordinates"": [[2.3556602761293917, 48.82054096837441], [2.3558626948452783, 48.820449458798066], [2.356576238877008, 48.81991197258258]], ""type"": ""LineString""}"
1927;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Maubeuge;2107;Maubeuge-Rochechouart;2108;Maubeuge-Chantilly;48.87870255029273, 2.3461927648245524;"{""coordinates"": [[2.347257237372931, 48.8790142406697], [2.345128292276174, 48.878390859915754]], ""type"": ""LineString""}"
6346;2000-10-26T02:00:00+00:00;2023-01-01T01:00:00+00:00;Roquette;3284;Roquette-Leon_Frot;3258;Pl_Leon_Blum;48.85806506433162, 2.3819949782920533;"{""coordinates"": [[2.380350865180432, 48.85773397492372], [2.3805839378718314, 48.85770472069019], [2.3836341061956303, 48.858477028038145]], ""type"": ""LineString""}"
6216;1999-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Sout._Van_Gogh_vers_Diderot;288;Bd_Diderot-Abel-Michel_Chasles;3226;Souterrain_Van_Gogh_(Bercy);48.84520976812966, 2.373441842428832;"{""coordinates"": [[2.372582876633439, 48.84456976934699], [2.3743008082242247, 48.84584976691233]], ""type"": ""LineString""}"
465;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Quai_de_la_Rapee;278;Pl_Mazas;270;Bd_Bastille-Pt_Morland-Rapee;48.846114976657816, 2.3672035476392557;"{""coordinates"": [[2.3668396251063224, 48.84640549158485], [2.3675674701721894, 48.845824461730786]], ""type"": ""LineString""}"
980;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;JB_Berlier;556;JB Berlier-Allee Paris Ivry;553;Quai_Ivry-AccesSortie BP-Berlier;48.82620785271993, 2.385838836216054;"{""coordinates"": [[2.3866990722617984, 48.82625828269816], [2.3861560366617818, 48.82625545159436], [2.385788354066075, 48.826259085884516], [2.3855459906891903, 48.8262093017186], [2.384999050368733, 48.82602829754379]], ""type"": ""LineString""}"
5901;1997-07-04T02:00:00+00:00;2023-01-01T01:00:00+00:00;8_mai_1945;836;Bd_de_Strasbourg-Gare_de_l'Est;827;Bd_Magenta-Rue_Fbg_St_Denis;48.876279271087455, 2.3571432701695465;"{""coordinates"": [[2.3559286074515398, 48.87643347076794], [2.356328911734632, 48.87641177349363], [2.358354289150382, 48.87609072027289]], ""type"": ""LineString""}"
4251;1996-10-10T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Berthier;3186;Bd_Berthier-Courcelles;2285;Bd_Berthier-Av_Villiers;48.88638251432007, 2.2958450798471253;"{""coordinates"": [[2.2957525696627017, 48.88634587555726], [2.295937590031549, 48.886419153082876]], ""type"": ""LineString""}"
6930;2015-06-08T02:00:00+00:00;2023-01-01T01:00:00+00:00;AI_St_Ouen;2012;AI_St_Ouen;3585;AI_St_Ouen-1;48.90059636376979, 2.3324763490840468;"{""coordinates"": [[2.3316358809002127, 48.90054319724011], [2.3333168172678804, 48.90064953029947]], ""type"": ""LineString""}"
6877;2014-12-29T01:00:00+00:00;2023-01-01T01:00:00+00:00;Chapelle_bretelle_2;956;Chapelle_bretelles_2-4-A1_Y;3561;Chapelle_bretelle_2;48.901927611381566, 2.3591117924823752;"{""coordinates"": [[2.359315621198073, 48.90170637376974], [2.358907963766678, 48.90214884899339]], ""type"": ""LineString""}"
6943;2015-06-11T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Montreuil;771;AE_Montreuil;3598;AE_Montreuil-1;48.855651758552646, 2.4142094631856192;"{""coordinates"": [[2.4142477669661653, 48.85512992043855], [2.4141711594050737, 48.85617359666674]], ""type"": ""LineString""}"
6929;2015-06-08T02:00:00+00:00;2023-01-01T01:00:00+00:00;AI_Clichy;2028;AI_Clichy;3584;AI_Clichy-1;48.897189217479095, 2.3121571362235045;"{""coordinates"": [[2.311452087849932, 48.89685604765354], [2.3128621845970767, 48.897522387304655]], ""type"": ""LineString""}"
6947;2015-06-11T02:00:00+00:00;2023-01-01T01:00:00+00:00;AE_Chapelle_bretelle_3;955;AE_Chapelle-Bretelle_3;3602;AE_Chapelle_bretelle_3_milieu;48.901062955043656, 2.361037580120939;"{""coordinates"": [[2.3620867494735704, 48.90104473742968], [2.362020991378511, 48.90109665529791], [2.3617975354315366, 48.90115258022456], [2.361500800311428, 48.901130602232406], [2.3606603695302537, 48.9010404502172], [2.359971711024389, 48.90092139907959]], ""type"": ""LineString""}"
6267;2000-04-28T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_Courcelles;3253;Bd_de_Courcelles-Prony-Berger;3298;Bd_Courcelles-Alfred_de_Vigny;48.879922736294795, 2.3070831553914046;"{""coordinates"": [[2.305002946893474, 48.87947692368469], [2.3091633638893354, 48.8803685489049]], ""type"": ""LineString""}"
1945;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Haussmann;2132;Haussmann-La_Fayette-Ch._Antin;2131;Bd_Haussmann-Pl_Adrien_Oudin;48.87277983041258, 2.334421685422601;"{""coordinates"": [[2.3358155372506006, 48.872586465887224], [2.333027833594602, 48.87297319493795]], ""type"": ""LineString""}"
6745;2012-07-04T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_St_Martin;3497;Bd_St_Martin_Face_9;334;Bd_St_Martin_(Theatre);48.86842940508086, 2.3589787286788577;"{""coordinates"": [[2.3575031623256177, 48.86865337951582], [2.3604542950320977, 48.8682054306459]], ""type"": ""LineString""}"
4724;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_de_Versailles;2515;Versailles-Wilhem;2517;Versailles-Sardou;48.84394833535562, 2.2702852275358882;"{""coordinates"": [[2.2689878311387233, 48.84268940756676], [2.271582623933053, 48.84520726314448]], ""type"": ""LineString""}"
1850;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Ney;2005;Bd_Ney-A_Ranc;2007;Bd_Ney-Face_Hopital_Bichat;48.89761514384929, 2.332415949693189;"{""coordinates"": [[2.3312593022429358, 48.89759090777166], [2.333572597143442, 48.89763937992692]], ""type"": ""LineString""}"
1851;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Ney;2006;Bd_Bessieres-Av_Pte_St_Ouen;2007;Bd_Ney-Face_Hopital_Bichat;48.8977226394047, 2.3301963009527347;"{""coordinates"": [[2.331259299333132, 48.89774722749736], [2.329133302572338, 48.897698051312034]], ""type"": ""LineString""}"
1864;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Bessieres;2019;Bd_Bessieres-Joncquiere;2024;Av_de_Clichy-Bd_Bessieres;48.895131321886886, 2.3158655489779094;"{""coordinates"": [[2.3154196065164747, 48.894966329541454], [2.316311491439344, 48.89529631423232]], ""type"": ""LineString""}"
1925;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Maubeuge;2106;Maubeuge-Rodier;2105;Maubeuge-Face n0;48.87750328102539, 2.3432570149517833;"{""coordinates"": [[2.3442635146618853, 48.8779806972792], [2.342250515241681, 48.87702586477158]], ""type"": ""LineString""}"
4064;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Maubeuge;2115;Chateaudun-Maubeuge;2103;Maubeuge-Lamartine;48.87628613136214, 2.340673467778722;"{""coordinates"": [[2.3412109175208107, 48.87653823911494], [2.3401360180366337, 48.87603402360934]], ""type"": ""LineString""}"
4953;1996-10-18T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_de_la_Villette;2624;Pl_Colonel_Fabien;2623;Bd_Villette-Square_J.Falck;48.87911800724786, 2.370052177799299;"{""coordinates"": [[2.370043576691723, 48.87978343560901], [2.3700607789068746, 48.87845257888671]], ""type"": ""LineString""}"
4922;1996-10-18T02:00:00+00:00;2023-01-01T01:00:00+00:00;Cours_de_Vincennes;2608;Cours_de_Vincennes-Face_35;2607;Cours_de_Vincennes-Face_N?;48.84782388285508, 2.401301440355618;"{""coordinates"": [[2.400593473232778, 48.84788491370879], [2.402009407478458, 48.84776285200138]], ""type"": ""LineString""}"
1682;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Ordener;881;Baudelique-Ordener;880;Ordener-Hermel-Pl_Jules_Joffrin;48.89218747243517, 2.3459650903202185;"{""coordinates"": [[2.344998487667324, 48.89236431940367], [2.3469316929731123, 48.89201062546667]], ""type"": ""LineString""}"
5689;1997-01-21T01:00:00+00:00;2023-01-01T01:00:00+00:00;Fremicourt;2978;Fremicourt-Fondary;2942;Bd_Garibaldi-Bd_Grenelle;48.84749923319768, 2.2986114350574445;"{""coordinates"": [[2.301240290282802, 48.84783448175133], [2.3008031714242723, 48.84780988816229], [2.295985882038342, 48.847130451819204]], ""type"": ""LineString""}"
1862;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Bessieres;2019;Bd_Bessieres-Joncquiere;2018;Bd_Bessieres-Dr_Brousse;48.895804916227746, 2.317182973005072;"{""coordinates"": [[2.3181999364598616, 48.89618244517149], [2.3161660095502823, 48.895427387283995]], ""type"": ""LineString""}"
279;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rivoli;142;Rivoli-St_Florentin;166;Rivoli-Cambon;48.86628260721852, 2.324250937918594;"{""coordinates"": [[2.325017091391149, 48.86605504201563], [2.323878600984536, 48.86641433493771], [2.323470949740782, 48.86643130433763]], ""type"": ""LineString""}"
4665;1996-10-16T02:00:00+00:00;2023-01-01T01:00:00+00:00;Rue_du_Fbg_St_Antoine;2482;Rue_Fbg_St_Antoine-Charonne;2698;St_Antoine-St_Louis;48.852125449530206, 2.372755613225504;"{""coordinates"": [[2.371723615301684, 48.852422824656], [2.3737876111493237, 48.8518280744044]], ""type"": ""LineString""}"
865;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Massena;498;Bd_Massena-Bruneseau;3291;Bd_Massena-Face_FNAC;48.82646568999411, 2.3835377485581324;"{""coordinates"": [[2.3850931632052363, 48.82714132308397], [2.3832693003686334, 48.82630791736203], [2.3819487493149847, 48.82587604720435]], ""type"": ""LineString""}"
179;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Pt_Neuf;71;Pt_Neuf-Quai_Horloge;72;Pt_Neuf_(Milieu_Grand_Bras);48.8575426973987, 2.3416351773381723;"{""coordinates"": [[2.341896740189129, 48.857868087330296], [2.3413736144872157, 48.857217307467096]], ""type"": ""LineString""}"
4529;1996-10-15T02:00:00+00:00;2023-01-01T01:00:00+00:00;Av_Henri_Martin;2415;Av_H.Martin-Pompe-Av_G.Mandel;2413;Henri_Martin-Lamartine-Mignard;48.864056549147776, 2.276102616438188;"{""coordinates"": [[2.2748648231176296, 48.864178892712516], [2.277340409758746, 48.86393420558303]], ""type"": ""LineString""}"
6817;2014-01-06T01:00:00+00:00;2023-01-01T01:00:00+00:00;Avenue_Iena;3447;Freycinet-Iena;2377;Iena-Vacquerie;48.86887750120411, 2.2955179198586446;"{""coordinates"": [[2.295506122871994, 48.87050905441864], [2.295565037208574, 48.87001566042578], [2.295576879039816, 48.86927609889283], [2.2955527148077377, 48.867920775719334], [2.2951655963405195, 48.86733443321091]], ""type"": ""LineString""}"
1442;1996-10-03T02:00:00+00:00;2023-01-01T01:00:00+00:00;Bd_Davout;762;Bd_Davout-Vitruve-Serpollet;768;Bd_Davout-Harpignies;48.85969228841959, 2.409691428796772;"{""coordinates"": [[2.409846977391872, 48.85875734722861], [2.4095358802016724, 48.860627229610564]], ""type"": ""LineString""}"
4019;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Ney;2013;Bd_Bessieres-J_Leclaire;2007;Bd_Ney-Face_Hopital_Bichat;48.897698614177926, 2.3290154652721142;"{""coordinates"": [[2.329133302572338, 48.897698051312034], [2.328897627971891, 48.897699177043826]], ""type"": ""LineString""}"
1555;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Magenta;826;Bd_Magenta-Lancry;819;Bd_Magenta-Rue_Fbg_St_Martin;48.870921854008515, 2.3607311188130335;"{""coordinates"": [[2.3603675327668485, 48.87134115345987], [2.361094704859219, 48.87050255455716]], ""type"": ""LineString""}"
1340;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_Republique;716;Republique-Jules_Ferry;712;Republique-JP_Timbaud;48.86633980504486, 2.3691663057992742;"{""coordinates"": [[2.369513929641871, 48.86627858893897], [2.3688186819566774, 48.86640102115076]], ""type"": ""LineString""}"
1687;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_de_Bercy;2711;Bd_Bercy-Finances;894;Bd_Bercy-Quai_Rapee;48.8391434349073, 2.3771744698724637;"{""coordinates"": [[2.376372614649684, 48.83871699997973], [2.377976325095243, 48.839569869834875]], ""type"": ""LineString""}"
1629;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Barbes;863;Barbes-Poissonniers-Goutte_d'Or;864;BdBarbes-Custine-Poulet_PlChatR;48.886012330830056, 2.349455617490262;"{""coordinates"": [[2.3494620753907247, 48.88656569513593], [2.349449159589799, 48.885458966524176]], ""type"": ""LineString""}"
431;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Henri_IV;256;Bb_Henri_IV-Castex;255;Bd_Henri_IV-Bd_Morland;48.85178026952678, 2.3645648429884423;"{""coordinates"": [[2.3636845890751235, 48.85151306879553], [2.365445096901761, 48.85204747025802]], ""type"": ""LineString""}"
1596;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_de_Rochechouart;834;Magenta-Barbes-Chapelle-Rochech;3088;Rochechouart-Clignancourt;48.88359342967899, 2.349522660425988;"{""coordinates"": [[2.3494410214353847, 48.883586717806764], [2.349604299416591, 48.88360014155121]], ""type"": ""LineString""}"
435;2005-01-01T01:00:00+00:00;2016-07-13T02:00:00+00:00;Rampe_Pt_Marie;258;Celestins-Rampe_PT_Marie;257;V.G.P.-Rampe_Pt_Marie;48.85292622497736, 2.35845982669381;"{""coordinates"": [[2.3579092654756884, 48.85304771210474], [2.3590103879119315, 48.85280473784998]], ""type"": ""LineString""}"
5469;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Pl_d'Italie;2655;Italie-Choisy-Vincent_Auriol;2681;Pl_d'Italie-Bd_Auguste_Blanqui;48.831185895459306, 2.3549058608767086;"{""coordinates"": [[2.35480998440268, 48.83132021208898], [2.355001737350737, 48.83105157882963]], ""type"": ""LineString""}"
4963;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Av_Secretan;2600;Pl_Stalingrad;2627;Av_Secretan-Meaux;48.882588050619745, 2.3704295873478873;"{""coordinates"": [[2.370534594472509, 48.88245074074851], [2.3705185957939947, 48.88245780629341], [2.3703303849229824, 48.882732352796225]], ""type"": ""LineString""}"
6801;2005-01-01T01:00:00+00:00;2019-06-01T02:00:00+00:00;Bd_Malesherbes;3375;Malesherbes-Cardinet;3525;Place_du_Nicaragua;48.88517940143818, 2.3071400944578;"{""coordinates"": [[2.3071025115314168, 48.88520859211659], [2.3071776773841837, 48.88515021075977]], ""type"": ""LineString""}"
